file	key	previous_hungarian	revised_hungarian	english_source
budgets.yml	budgets.ballots.reasons_for_not_balloting.different_heading_assigned	Ön már megszavazott egy másik fejezetet: %{heading_link}	Már szavazott egy másik címsorra: %{heading_link}	You have already voted a different heading: %{heading_link}
budgets.yml	budgets.ballots.reasons_for_not_balloting.not_enough_available_votes	Ön elérte a maximális megengedett szavazatok számát	Elérte a szavazatok maximális számát	You have reached the maximum number of votes allowed
budgets.yml	budgets.ballots.reasons_for_not_balloting.change_ballot	a szavazatok megváltoztatása	változtassa meg a szavazatait	change your votes
budgets.yml	budgets.ballots.reasons_for_not_balloting.casted_offline	Ön már részt vett offline	Már offline is részt vett	You have already participated offline
budgets.yml	budgets.groups.show.title	Válassza ki a címet	Válasszon egy címsort	Select a heading
budgets.yml	budgets.phase.drafting	Draft (A nyilvánosság számára nem látható)	Piszkozat (Nyilvánosan nem látható)	Draft (Not visible to the public)
budgets.yml	budgets.phase.informing	Tájékoztatás	Információ	Information
budgets.yml	budgets.phase.reviewing	Felülvizsgálati projektek	Projektek felülvizsgálata	Reviewing projects
budgets.yml	budgets.phase.valuating	Értékelő projektek	Projektek értékelése	Valuating projects
budgets.yml	budgets.phase.publishing_prices	Projektárak közzététele	Kiadói projektek árai	Publishing projects prices
budgets.yml	budgets.phase.balloting	Szavazati projektek	Szavazási projektek	Voting projects
budgets.yml	budgets.phase.reviewing_ballots	A szavazás felülvizsgálata	Szavazás felülvizsgálata	Reviewing voting
budgets.yml	budgets.phase.finished	Befejezett költségvetés	Kész költségvetés	Finished budget
budgets.yml	budgets.index.title	Közösségi költségvetések	közösségi költségvetések	Participatory budgets
budgets.yml	budgets.index.section_header.icon_alt	Részvételi költségvetés ikon	közösségi költségvetések ikonra	Participatory budgets icon
budgets.yml	budgets.index.section_header.title	Közösségi költségvetések	közösségi költségvetések	Participatory budgets
budgets.yml	budgets.index.section_header.help	A részvételen alapuló költségvetések támogatása	Segítség a közösségi költségvetéshez	Help with participatory budgets
budgets.yml	budgets.index.all_phases	Részvételi költségvetési szakaszok	A közösségi költségvetés szakaszai	Participatory budgets phases
budgets.yml	budgets.index.next_phase	Következő szakasz	Következő fázis	Next phase
budgets.yml	budgets.index.prev_phase	Korábbi szakasz	Előző fázis	Previous phase
budgets.yml	budgets.index.current_phase	Jelenlegi szakasz	Aktuális fázis	Current phase
budgets.yml	budgets.index.map	A költségvetési beruházások javaslatai földrajzilag találhatók	A költségvetési beruházási javaslatok földrajzi elhelyezkedésűek	Budget investments' proposals located geographically
budgets.yml	budgets.index.finished_budgets	Befejezett részvételi költségvetés	Elkészült a közösségi költségvetés	Finished participatory budgets
budgets.yml	budgets.index.section_footer.title	A részvételen alapuló költségvetések támogatása	Segítség a közösségi költségvetéshez	Help with participatory budgets
budgets.yml	budgets.index.section_footer.description	A részvételen alapuló költségvetéssel a polgárok döntenek arról, hogy mely projektek a költségvetés részét képezik.	A közösségi költségvetéssel a polgárok döntik el, hogy mely projektekre szánják a költségvetés egy részét.	With the participatory budgets the citizens decide to which projects is destined a part of the budget.
budgets.yml	budgets.investments.form.title	Költségvetési beruházás létrehozása	Hozzon létre egy költségvetési befektetést	Create a budget investment
budgets.yml	budgets.investments.form.tags_instructions	Jelölje be ezt a javaslatot. Választhat a javasolt kategóriák közül vagy hozzáadhatja a saját	Jelölje meg ezt az ajánlatot. Választhat a javasolt kategóriák közül, vagy hozzáadhat sajátot	Tag this proposal. You can choose from proposed categories or add your own
budgets.yml	budgets.investments.form.tags_placeholder	"Adja meg a használni kívánt címkét, vesszővel elválasztva ("","")"	Adja meg a használni kívánt címkéket, vesszővel (',') elválasztva.	Enter the tags you would like to use, separated by commas (',')
budgets.yml	budgets.investments.index.title	Közösségi költségvetés	közösségi költségvetés	Participatory budgeting
budgets.yml	budgets.investments.index.unfeasible	Nem megvalósítható beruházási projektek	Megvalósíthatatlan beruházási projektek	Unfeasible investment projects
budgets.yml	budgets.investments.index.unfeasible_text	A beruházásoknak számos olyan kritériumnak kell megfelelniük (jogszerűség, megbízhatóság, nem haladhatja meg a költségvetés határát), amelyeket életképesnek kell nyilvánítani, és el kell érniük a végső szavazás szakaszát. Minden beruházás nem felel meg ezeknek a kritériumoknak, megvalósíthatatlannak minősül, és a következő listában jelenik meg, a megvalósíthatatlansági jelentéssel együtt.	A beruházásoknak számos kritériumnak kell megfelelniük (törvényesség, konkrétság, nem léphetik túl a költségvetési keretet), hogy életképessé nyilvánítsák és a zárószavazás stádiumába kerüljenek. Minden olyan beruházás, amely nem felel meg ezeknek a kritériumoknak, kivitelezhetetlennek van jelölve, és a megvalósíthatatlansági jelentéssel együtt a következő listában közzéteszi.	The investments must meet a number of criteria (legality, concreteness, not exceed the limit of the budget) to be declared viable and reach the stage of final vote. All investments don't meet these criteria are marked as unfeasible and published in the following list, along with its report of infeasibility.
budgets.yml	budgets.investments.index.by_heading	Hatással rendelkező beruházási projektek: %{heading}	Beruházási projektek hatókörrel: %{heading}	Investment projects with scope: %{heading}
budgets.yml	budgets.investments.index.search_form.placeholder	Befektetési projektek keresése...	Beruházási projektek keresése...	Search investment projects...
budgets.yml	budgets.investments.index.sidebar.my_ballot	A szavazatom.	Az én szavazólapom	My ballot
budgets.yml	budgets.investments.index.sidebar.voted_info.knapsack.one	<strong>Ön egy javaslatot szavazott meg, amelynek költsége: %{amount_spent}</strong>	<strong>Egy olyan ajánlatot szavazott meg, amelynek költsége %{amount_spent}</strong>	<strong>You voted one proposal with a cost of %{amount_spent}</strong>
budgets.yml	budgets.investments.index.sidebar.voted_info.knapsack.other	<strong>Te szavaztál. %{count} olyan javaslatok, amelyek költsége %{amount_spent}</strong>	<strong>Ön %{count} javaslatot szavazott meg, amelynek költsége %{amount_spent}</strong>	<strong>You voted %{count} proposals with a cost of %{amount_spent}</strong>
budgets.yml	budgets.investments.index.sidebar.voted_info.approval.one	<strong>Egy javaslatot szavazott meg.</strong>	<strong>Egy javaslatot szavazott meg</strong>	<strong>You voted one proposal</strong>
budgets.yml	budgets.investments.index.sidebar.voted_info.approval.other	<strong>Te szavaztál. %{count} javaslatok</strong>	<strong>Ön %{count} javaslatra szavazott</strong>	<strong>You voted %{count} proposals</strong>
budgets.yml	budgets.investments.index.sidebar.change_vote_info.knapsack	Megteheted. %{link} bármikor, amíg %{phase_end_date}Nem kell elkölteni az összes rendelkezésre álló pénzt.	Az %{link}-et %{phase_end_date}-ig bármikor elvégezheti. Nem kell minden rendelkezésre álló pénzt elkölteni.	You can %{link} at any time until %{phase_end_date}. No need to spend all the money available.
budgets.yml	budgets.investments.index.sidebar.change_vote_info.approval	Megteheted. %{link} bármikor, amíg %{phase_end_date}.	Az %{link}-et %{phase_end_date}-ig bármikor elvégezheti.	You can %{link} at any time until %{phase_end_date}.
budgets.yml	budgets.investments.index.sidebar.change_vote_link	a szavazás módosítása	változtasd meg a szavazatodat	change your vote
budgets.yml	budgets.investments.index.sidebar.different_heading_assigned	Önnek aktív szavazata van egy másik fejezetben: %{heading_link}	Aktív szavazatai vannak egy másik rovatban: %{heading_link}	You have active votes in another heading: %{heading_link}
budgets.yml	budgets.investments.index.sidebar.change_ballot	Ha meggondolja magát, a szavazatokat %{check_ballot} és újrakezdjük.	Ha meggondolja magát, eltávolíthatja szavazatait az %{check_ballot}-ban, és újrakezdheti.	If you change your mind you can remove your votes in %{check_ballot} and start again.
budgets.yml	budgets.investments.index.sidebar.check_ballot_link	Ellenőrizd a szavazataimat.	ellenőrizze a szavazataimat	check my votes
budgets.yml	budgets.investments.index.sidebar.zero	Ebben a csoportban egyetlen beruházási projektet sem szavaztak meg.	Nem szavazott egyetlen befektetési projektet sem ebben a csoportban.	You have not voted any investment project in this group.
budgets.yml	budgets.investments.index.sidebar.verified_only	Új költségvetési beruházás létrehozása %{verify}.	Új költségvetési beruházás létrehozásához %{verify}.	To create a new budget investment %{verify}.
budgets.yml	budgets.investments.index.sidebar.create	Költségvetési beruházás létrehozása	Hozzon létre egy költségvetési befektetést	Create a budget investment
budgets.yml	budgets.investments.index.sidebar.not_logged_in	Ahhoz, hogy egy új költségvetési beruházást meg kell %{sign_in} vagy %{sign_up}.	Új költségvetési befektetés létrehozásához %{sign_in} vagy %{sign_up} szükséges.	To create a new budget investment you must %{sign_in} or %{sign_up}.
budgets.yml	budgets.investments.index.filter	Projektek szűrése	Projektek szűrése a következő szerint	Filtering projects by
budgets.yml	budgets.investments.index.filters.unfeasible	Nem megvalósítható	Megvalósíthatatlan	Unfeasible
budgets.yml	budgets.investments.index.filters.unselected	A végső szavazásra nem került sor	Nem választották ki a végső szavazásra	Not selected for the final voting
budgets.yml	budgets.investments.index.orders.random	véletlenszerű	véletlen	random
budgets.yml	budgets.investments.index.orders.confidence_score	legnagyobb névleges	legmagasabb minősítésű	highest rated
budgets.yml	budgets.investments.share.message	Én hoztam létre a beruházási projektet. %{title} in %{handle}Hozzon létre egy beruházási projektet is!	Az %{title} beruházási projektet %{handle}-ben hoztam létre. Hozz létre befektetési projektet is!	I created the investment project %{title} in %{handle}. Create an investment project too!
budgets.yml	budgets.investments.show.price_explanation	Az ár magyarázata	Ár magyarázat	Price explanation
budgets.yml	budgets.investments.show.code	A beruházási projekt kódja: <strong>%{code}</strong>	Beruházási projekt kódja: <strong>%{code}</strong>	Investment project code: <strong>%{code}</strong>
budgets.yml	budgets.investments.show.location	Hely: <strong>%{location}</strong>	Helyszín: <strong>%{location}</strong>	Location: <strong>%{location}</strong>
budgets.yml	budgets.investments.show.organization_name	A következők nevében javasolt: <strong>%{name}</strong>	Javasolt a következő nevében: <strong>%{name}</strong>	Proposed on behalf of: <strong>%{name}</strong>
budgets.yml	budgets.investments.show.share	Megosztás	Részesedés	Share
budgets.yml	budgets.investments.show.supports	Támogatások	Támogatja	Supports
budgets.yml	budgets.investments.show.votes	Szavazások	Szavazatok	Votes
budgets.yml	budgets.investments.show.project_unfeasible	Ez a beruházási projekt <strong>nem kivitelezhető</strong> és nem megy bele a fázisba.	Ezt a beruházási projektet <strong> nem megvalósíthatónak</strong> jelölték meg, és nem kerül szavazási szakaszba.	This investment project <strong>has been marked as not feasible</strong> and will not go to balloting phase.
budgets.yml	budgets.investments.show.project_selected	Ez a beruházási projekt <strong>kiválasztva</strong> az infekciós fázisra.	Ezt a beruházási projektet <strong> kiválasztották</strong> a szavazási szakaszra.	This investment project <strong>has been selected</strong> for balloting phase.
budgets.yml	budgets.investments.show.project_winner	Nyerő beruházási projekt	Nyertes beruházási projekt	Winning investment project
budgets.yml	budgets.investments.show.project_not_selected	Ez a beruházási projekt <strong>nem került kiválasztásra</strong> az infekciós fázisra.	Ezt a beruházási projektet <strong>nem választották ki</strong> a szavazási szakaszra.	This investment project <strong>has not been selected</strong> for balloting phase.
budgets.yml	budgets.investments.investment.already_added	Ön már hozzátette ezt a beruházási projektet.	Ön már hozzáadta ezt a beruházási projektet	You have already added this investment project
budgets.yml	budgets.investments.investment.support_title	A projekt támogatása	Támogassa ezt a projektet	Support this project
budgets.yml	budgets.investments.investment.supports.other	%{count} támaszok	%{count} támogatja	%{count} supports
budgets.yml	budgets.investments.header.check_ballot	Ellenőrizd a szavazataimat.	Ellenőrizze a szavazataimat	Check my votes
budgets.yml	budgets.investments.header.different_heading_assigned	Önnek aktív szavazata van egy másik fejezetben: %{heading_link}	Aktív szavazatai vannak egy másik rovatban: %{heading_link}	You have active votes in another heading: %{heading_link}
budgets.yml	budgets.investments.header.change_ballot	Ha meggondolja magát, a szavazatokat %{check_ballot} és újrakezdjük.	Ha meggondolja magát, eltávolíthatja szavazatait az %{check_ballot}-ban, és újrakezdheti.	If you change your mind you can remove your votes in %{check_ballot} and start again.
budgets.yml	budgets.investments.header.check_ballot_link	Ellenőrizd a szavazataimat.	ellenőrizze a szavazataimat	check my votes
budgets.yml	budgets.investments.header.price	Összesen	Teljes költségvetés	Total budget
budgets.yml	budgets.investments.votes.confirm_group.one	Csak a beruházások támogathatók %{count} kerület. Ha folytatja, nem változtathat a körzetén. Biztos?	Csak az %{count} kerületben lehet beruházásokat támogatni. Ha folytatja, nem módosíthatja a körzetének választását. Biztos vagy benne?	You can only support investments in %{count} district. If you continue you cannot change the election of your district. Are you sure?
budgets.yml	budgets.investments.votes.confirm_group.other	Csak a beruházások támogathatók %{count} Körzetek. Ha folytatja, nem változtathat a körzetén. Biztos?	Csak az %{count} körzetekben lehet beruházásokat támogatni. Ha folytatja, nem módosíthatja a körzetének választását. Biztos vagy benne?	You can only support investments in %{count} districts. If you continue you cannot change the election of your district. Are you sure?
budgets.yml	budgets.investments.votes.remove_support_label	Távolítsa el a támogatást %{investment}	Távolítsa el az %{investment} támogatását	Remove your support to %{investment}
budgets.yml	budgets.investments_list.investment.read_more	Bővebben	Olvass tovább	Read more
budgets.yml	budgets.investments_list.investment.supports	Támogatások	Támogatja	Supports
budgets.yml	budgets.investments_list.see_all	Lásd az összes beruházást	Tekintse meg az összes befektetést	See all investments
budgets.yml	budgets.investments_list.title	Beruházások listája	A befektetések listája	List of investments
budgets.yml	budgets.supports_info.different	Támogathat annyi projektet, amennyit csak akar.	Annyi különböző projektet támogathat, amennyit csak szeretne.	You may support on as many different projects as you would like.
budgets.yml	budgets.supports_info.next	Támogatja azokat a projekteket, amelyeket a következő szakaszra szeretne haladni.	Támogassa azokat a projekteket, amelyekkel a következő fázisba szeretne lépni.	Support the projects you would like to see move on to the next phase.
budgets.yml	budgets.supports_info.scrolling	Tekerj tovább, hogy lásd az összes ötletet	Az összes ötlet megtekintéséhez görgessen tovább	Keep scrolling to see all ideas
budgets.yml	budgets.supports_info.share	Megoszthatja a közösségi médián keresztül támogatott projekteket, és nagyobb figyelmet és támogatást nyújthat számukra!	Megoszthatja a támogatott projektjeit a közösségi médián keresztül, és több figyelmet és támogatást vonhat magára!	You can share the projects you have supported on through social media and attract more attention and support to them!
budgets.yml	budgets.supports_info.supported.one	Eddig támogattál. <strong>1 projekt</strong>.	Eddig <strong>1 projektet</strong> támogatott.	So far you've supported <strong>1 project</strong>.
budgets.yml	budgets.supports_info.supported.other	Eddig támogattál. <strong>%{count} projektek</strong>.	Eddig az <strong>%{count} projekteket</strong> támogatta.	So far you've supported <strong>%{count} projects</strong>.
budgets.yml	budgets.supports_info.supported_not_logged_in	Bejelentkezés az induláshoz <strong>a projektek támogatása</strong>.	Jelentkezzen be az <strong>támogató projektek</strong> elindításához.	Log in to start <strong>supporting projects</strong>.
budgets.yml	budgets.supports_info.time	Van még idő, amíg %{phase_end_date} a projektek támogatása.	Még van idő a projektek támogatására %{phase_end_date}-ig.	There's still time until %{phase_end_date} to support projects.
budgets.yml	budgets.supports_info.title	Ideje, hogy <strong>támogatás</strong> Projektek!	Ideje <strong>támogatni</strong> projekteket!	It's time to <strong>support</strong> projects!
budgets.yml	budgets.results.heading	Részvételi költségvetési eredmények	közösségi költségvetés eredményei	Participatory budget results
budgets.yml	budgets.results.heading_selection_title	Körzet szerint	kerület szerint	By district
budgets.yml	budgets.results.ballot_lines_count	Szavazások	Szavazatok	Votes
budgets.yml	budgets.results.hide_discarded_link	Eldobva	Elvetett elrejtés	Hide discarded
budgets.yml	budgets.results.show_all_link	Az összes megjelenítése	Összes megjelenítése	Show all
budgets.yml	budgets.results.accepted	Elfogadott beruházás: 	Elfogadott befektetés:	Accepted investment: 
budgets.yml	budgets.results.discarded	Elutasított befektetés: 	Eldobott befektetés:	Discarded investment: 
budgets.yml	budgets.results.incompatibles	Intermedibles	Összeférhetetlenek	Incompatibles
budgets.yml	budgets.results.investment_title	A projekt címe	Projekt címe	Project title
budgets.yml	budgets.results.unfeasible_investment_proyects	Az összes megvalósíthatatlan beruházási projekt jegyzéke	Az összes megvalósíthatatlan beruházási projekt listája	List of all unfeasible investment projects
budgets.yml	budgets.results.not_selected_investment_proyects	Nem kiválasztott beruházási projektek listája	A szavazásra nem kiválasztott beruházási projektek listája	List of all investment projects not selected for balloting
budgets.yml	budgets.executions.page_title	%{budget} - Mérföldkövek.	%{budget} - Mérföldkövek	%{budget} - Milestones
budgets.yml	budgets.executions.heading	Részvételi költségvetés Mérföldkövek	közösségi költségvetés Mérföldkövek	Participatory budget Milestones
budgets.yml	budgets.executions.heading_selection_title	Körzet szerint	kerület szerint	By district
budgets.yml	budgets.executions.no_winner_investments	Nincs győztes befektetés ebben az államban	Ebben az állapotban nincs nyertes befektetés	No winner investments in this state
budgets.yml	budgets.executions.filters.status.all	Valamennyi (%{count})	Mind (%{count})	All (%{count})
budgets.yml	budgets.executions.filters.milestone_tag.label	Mérföldkőcímke	Mérföldkő címke	Milestone tag
budgets.yml	budgets.executions.filters.milestone_tag.all	Valamennyi (%{count})	Mind (%{count})	All (%{count})
budgets.yml	budgets.phases.errors.dates_range_invalid	A kezdési dátum nem lehet egyenlő vagy később, mint a végdátum	A kezdő dátum nem lehet egyenlő vagy későbbi, mint a Befejezés dátuma	Start date can't be equal or later than End date
budgets.yml	budgets.phases.errors.prev_phase_dates_invalid	A kezdő időpontnak későbbnek kell lennie, mint az előző engedélyezett szakasz kezdetének (%{phase_name})	A kezdő dátumnak későbbinek kell lennie, mint az előző engedélyezett fázis kezdő dátuma (%{phase_name})	Start date must be later than the start date of the previous enabled phase (%{phase_name})
budgets.yml	budgets.phases.errors.next_phase_dates_invalid	A befejezés időpontjának korábban kell történnie, mint a következő engedélyezett szakasz (%{phase_name})	A befejezés dátumának korábbinak kell lennie, mint a következő engedélyezett fázis (%{phase_name}) befejezési dátuma.	End date must be earlier than the end date of the next enabled phase (%{phase_name})
devise.yml	devise.password_expired.change_required	A jelszavad lejárt.	A jelszava lejárt	Your password is expired
devise.yml	devise.password_expired.change_password	Jelszó megváltoztatása	Változtassa meg jelszavát	Change your password
devise.yml	devise.password_expired.updated	A jelszót sikeresen frissítették	A jelszó sikeresen frissítve	Password successfully updated
devise.yml	devise.confirmations.confirmed	A fiókja megerősítve.	Fiókját megerősítették.	Your account has been confirmed.
devise.yml	devise.confirmations.send_instructions	Néhány perc múlva kap egy e-mailt, amely útmutatást tartalmaz az e-mail cím megerősítéséről.	Néhány percen belül kapni fog egy e-mailt, amely tartalmazza az e-mail cím megerősítésére vonatkozó utasításokat.	In a few minutes you will receive an email containing instructions on how to confirm your email address.
devise.yml	devise.confirmations.send_paranoid_instructions	Ha az e-mail cím létezik az adatbázisunkban, néhány perc múlva kap egy e-mail utasításokat, hogyan lehet megerősíteni az e-mail címet.	Ha az Ön e-mail címe szerepel adatbázisunkban, néhány percen belül kapni fog egy e-mailt az e-mail cím megerősítésével kapcsolatban.	If your email address exists in our database, in a few minutes you will receive an email with instructions on how to confirm your email address.
devise.yml	devise.failure.already_authenticated	Már be vagy jelentkezve.	Már bejelentkezett.	You are already signed in.
devise.yml	devise.failure.inactive	A fiókját még nem aktiválták.	Fiókja még nincs aktiválva.	Your account has not yet been activated.
devise.yml	devise.failure.invalid	Érvénytelen %{authentication_keys} vagy jelszót.	Érvénytelen %{authentication_keys} vagy jelszó.	Invalid %{authentication_keys} or password.
devise.yml	devise.failure.locked	A számlád le van zárva.	Fiókját zároltuk.	Your account has been locked.
devise.yml	devise.failure.last_attempt	Van még egy próbálkozása, mielőtt a fiókját lezárják.	Még egy próbálkozása van hátra fiókja blokkolása előtt.	You have one more attempt remaining before your account is blocked.
devise.yml	devise.failure.not_found_in_database	Érvénytelen %{authentication_keys} vagy jelszót.	Érvénytelen %{authentication_keys} vagy jelszó.	Invalid %{authentication_keys} or password.
devise.yml	devise.failure.timeout	A foglalkozása lejárt. Kérem, jelentkezzen be újra, hogy folytassa.	A munkamenet lejárt. A folytatáshoz jelentkezzen be újra.	Your session has expired. Please sign in again to continue.
devise.yml	devise.failure.unauthenticated	Be kell jelentkeznie, vagy regisztrálnia kell, hogy folytathassa.	A folytatáshoz be kell jelentkeznie vagy regisztrálnia kell.	You must sign in or register to continue.
devise.yml	devise.failure.unconfirmed	A folytatáshoz kattintson a visszaigazoló linkre, amelyet e-mailben küldtünk Önnek.	A folytatáshoz kattintson a megerősítő linkre, amelyet e-mailben küldtünk Önnek	To continue, please click on the confirmation link that we have sent you via email
devise.yml	devise.mailer.confirmation_instructions.subject	Megerősítési utasítások	Megerősítő utasítások	Confirmation instructions
devise.yml	devise.mailer.unlock_instructions.subject	Kioldási utasítások	Feloldási utasítások	Unlocking instructions
devise.yml	devise.omniauth_callbacks.failure	"Nem volt lehetséges engedélyezni, hogy %{kind} Mert ""%{reason}""."	"Nem sikerült Önt %{kind}ként engedélyezni, mert ""%{reason}""."	"It has not been possible to authorize you as %{kind} because ""%{reason}""."
devise.yml	devise.omniauth_callbacks.success	Sikeresen azonosították: %{kind}.	Sikeresen azonosítva mint %{kind}.	Successfully identified as %{kind}.
devise.yml	devise.passwords.no_token	Nem férhet hozzá ehhez az oldalhoz, kivéve egy jelszó-visszaállító linken keresztül. Ha egy jelszó-visszaállító linken keresztül jutott hozzá, ellenőrizze, hogy az URL teljes-e.	Ezt az oldalt csak a jelszó-visszaállítási linken keresztül érheti el. Ha jelszó-visszaállítási linken keresztül jutott el, ellenőrizze, hogy az URL teljes-e.	You cannot access this page except through a password reset link. If you have accessed it through a password reset link, please check that the URL is complete.
devise.yml	devise.passwords.send_instructions	Néhány perc múlva kap egy e-mailt, amely a jelszó visszaállítására vonatkozó utasításokat tartalmaz.	Néhány percen belül e-mailt fog kapni, amely tartalmazza a jelszó visszaállítására vonatkozó utasításokat.	In a few minutes, you will receive an email containing instructions on resetting your password.
devise.yml	devise.passwords.send_paranoid_instructions	Ha az e-mail címed benne van az adatbázisunkban, néhány perc múlva kapsz egy linket, amivel visszaállíthatod a jelszavad.	Ha e-mail címe szerepel adatbázisunkban, néhány percen belül kap egy linket, amellyel visszaállíthatja jelszavát.	If your email address is in our database, in a few minutes you will receive a link to use to reset your password.
devise.yml	devise.passwords.updated	A jelszó sikeresen megváltozott. A hitelesítés sikeres.	Jelszava sikeresen megváltozott. A hitelesítés sikeres.	Your password has been changed successfully. Authentication successful.
devise.yml	devise.passwords.updated_not_active	A jelszó sikeresen megváltozott.	Jelszava sikeresen megváltozott.	Your password has been changed successfully.
devise.yml	devise.registrations.destroyed	Viszlát! A fiókját törölték. Reméljük, hamarosan újra látjuk.	Búcsú! Fiókját törölték. Reméljük hamarosan újra találkozunk.	Goodbye! Your account has been cancelled. We hope to see you again soon.
devise.yml	devise.registrations.signed_up	Üdvözlöm! Hitelesítették.	Üdvözöljük! Önt hitelesítették.	Welcome! You have been authenticated.
devise.yml	devise.registrations.signed_up_but_inactive	A regisztráció sikeres volt, de nem lehetett aláírni, mert a fiók nem aktiválódott.	A regisztráció sikeres volt, de nem tudott bejelentkezni, mert fiókja nincs aktiválva.	Your registration was successful, but you could not be signed in because your account has not been activated.
devise.yml	devise.registrations.signed_up_but_locked	A regisztrációja sikeres volt, de nem írhatták alá, mert a fiókja le van zárva.	A regisztráció sikeres volt, de nem tudott bejelentkezni, mert fiókja zárolva van.	Your registration was successful, but you could not be signed in because your account is locked.
devise.yml	devise.registrations.signed_up_but_unconfirmed	Küldtek önnek egy üzenetet, ami egy ellenőrző linket tartalmaz. Kérjük, kattintson erre a linkre, hogy aktiválja fiókját.	Ellenőrző linket tartalmazó üzenetet küldtek Önnek. Kérjük, kattintson erre a linkre fiókja aktiválásához.	You have been sent a message containing a verification link. Please click on this link to activate your account.
