file	key	previous_hungarian	revised_hungarian	english_source	method
budgets.yml	budgets.ballots.reasons_for_not_balloting.no_ballots_allowed	A kiválasztási fázis lezárult	A kiválasztási szakasz lezárult.	Selecting phase is closed	human editorial revision
budgets.yml	budgets.ballots.reasons_for_not_balloting.different_heading_assigned	Már szavazott egy másik címsorra: %{heading_link}	Már egy másik kategóriában szavazott: %{heading_link}.	You have already voted a different heading: %{heading_link}	human editorial revision
budgets.yml	budgets.ballots.reasons_for_not_balloting.not_enough_available_votes	Elérte a szavazatok maximális számát	Elérte a leadható szavazatok maximális számát.	You have reached the maximum number of votes allowed	human editorial revision
budgets.yml	budgets.ballots.reasons_for_not_balloting.change_ballot	változtassa meg a szavazatait	módosíthatja szavazatait	change your votes	human editorial revision
budgets.yml	budgets.ballots.reasons_for_not_balloting.casted_offline	Már offline is részt vett	Ön már személyesen is részt vett a szavazásban.	You have already participated offline	human editorial revision
budgets.yml	budgets.groups.show.title	Válasszon egy címsort	Válasszon kategóriát	Select a heading	human editorial revision
budgets.yml	budgets.phase.drafting	Piszkozat (Nyilvánosan nem látható)	Piszkozat (nyilvánosan nem látható)	Draft (Not visible to the public)	human editorial revision
budgets.yml	budgets.phase.informing	Információ	Tájékoztatás	Information	human editorial revision
budgets.yml	budgets.phase.publishing_prices	Kiadói projektek árai	A projektek költségének közzététele	Publishing projects prices	human editorial revision
budgets.yml	budgets.phase.balloting	Szavazási projektek	Szavazás a projektekről	Voting projects	human editorial revision
budgets.yml	budgets.phase.reviewing_ballots	Szavazás felülvizsgálata	A szavazás ellenőrzése	Reviewing voting	human editorial revision
budgets.yml	budgets.phase.finished	Kész költségvetés	Lezárt költségvetés	Finished budget	human editorial revision
budgets.yml	budgets.index.title	közösségi költségvetések	Közösségi költségvetések	Participatory budgets	human editorial revision
budgets.yml	budgets.index.section_header.icon_alt	közösségi költségvetések ikonra	Közösségi költségvetés ikon	Participatory budgets icon	human editorial revision
budgets.yml	budgets.index.section_header.title	közösségi költségvetések	Közösségi költségvetések	Participatory budgets	human editorial revision
budgets.yml	budgets.index.next_phase	Következő fázis	Következő szakasz	Next phase	human editorial revision
budgets.yml	budgets.index.prev_phase	Előző fázis	Előző szakasz	Previous phase	human editorial revision
budgets.yml	budgets.index.current_phase	Aktuális fázis	Aktuális szakasz	Current phase	human editorial revision
budgets.yml	budgets.index.map	A költségvetési beruházási javaslatok földrajzi elhelyezkedésűek	Beruházási javaslatok a térképen	Budget investments' proposals located geographically	human editorial revision
budgets.yml	budgets.index.finished_budgets	Elkészült a közösségi költségvetés	Lezárt közösségi költségvetések	Finished participatory budgets	human editorial revision
budgets.yml	budgets.index.section_footer.description	A közösségi költségvetéssel a polgárok döntik el, hogy mely projektekre szánják a költségvetés egy részét.	A közösségi költségvetésben a polgárok döntenek arról, hogy a költségvetés egy részét mely projektekre fordítsák.	With the participatory budgets the citizens decide to which projects is destined a part of the budget.	human editorial revision
budgets.yml	budgets.investments.form.title	Hozzon létre egy költségvetési befektetést	Beruházási projekt létrehozása	Create a budget investment	human editorial revision
budgets.yml	budgets.investments.form.tags_instructions	Jelölje meg ezt az ajánlatot. Választhat a javasolt kategóriák közül, vagy hozzáadhat sajátot	Címkézze fel ezt a javaslatot. Választhat a javasolt kategóriák közül, vagy saját címkét is hozzáadhat.	Tag this proposal. You can choose from proposed categories or add your own	human editorial revision
budgets.yml	budgets.investments.form.tags_placeholder	Adja meg a használni kívánt címkéket, vesszővel (',') elválasztva.	Adja meg a használni kívánt címkéket vesszővel (',') elválasztva.	Enter the tags you would like to use, separated by commas (',')	human editorial revision
budgets.yml	budgets.investments.index.title	közösségi költségvetés	Közösségi költségvetés	Participatory budgeting	human editorial revision
budgets.yml	budgets.investments.index.unfeasible	Megvalósíthatatlan beruházási projektek	Nem megvalósítható beruházási projektek	Unfeasible investment projects	human editorial revision
budgets.yml	budgets.investments.index.unfeasible_text	A beruházásoknak számos kritériumnak kell megfelelniük (törvényesség, konkrétság, nem léphetik túl a költségvetési keretet), hogy életképessé nyilvánítsák és a zárószavazás stádiumába kerüljenek. Minden olyan beruházás, amely nem felel meg ezeknek a kritériumoknak, kivitelezhetetlennek van jelölve, és a megvalósíthatatlansági jelentéssel együtt a következő listában közzéteszi.	A beruházási projekteknek több feltételnek is meg kell felelniük – jogszerűnek és kellően konkrétnak kell lenniük, valamint nem léphetik túl a költségvetési keretet –, hogy a végső szavazás szakaszába kerüljenek. Azok a projektek, amelyek nem felelnek meg ezeknek a feltételeknek, nem megvalósíthatóként, indoklással együtt jelennek meg az alábbi listában.	The investments must meet a number of criteria (legality, concreteness, not exceed the limit of the budget) to be declared viable and reach the stage of final vote. All investments don't meet these criteria are marked as unfeasible and published in the following list, along with its report of infeasibility.	human editorial revision
budgets.yml	budgets.investments.index.by_heading	Beruházási projektek hatókörrel: %{heading}	Beruházási projektek ebben a kategóriában: %{heading}	Investment projects with scope: %{heading}	human editorial revision
budgets.yml	budgets.investments.index.search_form.placeholder	Beruházási projektek keresése...	Beruházási projektek keresése…	Search investment projects...	human editorial revision
budgets.yml	budgets.investments.index.sidebar.my_ballot	Az én szavazólapom	Az Ön szavazólapja	My ballot	human editorial revision
budgets.yml	budgets.investments.index.sidebar.voted_info.knapsack.one	<strong>Egy olyan ajánlatot szavazott meg, amelynek költsége %{amount_spent}</strong>	<strong>Ön egy %{amount_spent} értékű javaslatra szavazott.</strong>	<strong>You voted one proposal with a cost of %{amount_spent}</strong>	human editorial revision
budgets.yml	budgets.investments.index.sidebar.voted_info.knapsack.other	<strong>Ön %{count} javaslatot szavazott meg, amelynek költsége %{amount_spent}</strong>	<strong>Ön %{count} javaslatra szavazott, összesen %{amount_spent} értékben.</strong>	<strong>You voted %{count} proposals with a cost of %{amount_spent}</strong>	human editorial revision
budgets.yml	budgets.investments.index.sidebar.voted_info.approval.one	<strong>Egy javaslatot szavazott meg</strong>	<strong>Ön egy javaslatra szavazott.</strong>	<strong>You voted one proposal</strong>	human editorial revision
budgets.yml	budgets.investments.index.sidebar.voted_info.approval.other	<strong>Ön %{count} javaslatra szavazott</strong>	<strong>Ön %{count} javaslatra szavazott.</strong>	<strong>You voted %{count} proposals</strong>	human editorial revision
budgets.yml	budgets.investments.index.sidebar.change_vote_info.knapsack	Az %{link}-et %{phase_end_date}-ig bármikor elvégezheti. Nem kell minden rendelkezésre álló pénzt elkölteni.	Szavazatát %{phase_end_date}-ig bármikor %{link}. Nem szükséges elköltenie a teljes rendelkezésre álló összeget.	You can %{link} at any time until %{phase_end_date}. No need to spend all the money available.	human editorial revision
budgets.yml	budgets.investments.index.sidebar.change_vote_info.approval	Az %{link}-et %{phase_end_date}-ig bármikor elvégezheti.	Szavazatát %{phase_end_date}-ig bármikor %{link}.	You can %{link} at any time until %{phase_end_date}.	human editorial revision
budgets.yml	budgets.investments.index.sidebar.change_vote_link	változtasd meg a szavazatodat	módosíthatja	change your vote	human editorial revision
budgets.yml	budgets.investments.index.sidebar.different_heading_assigned	Aktív szavazatai vannak egy másik rovatban: %{heading_link}	Másik kategóriában is vannak aktív szavazatai: %{heading_link}.	You have active votes in another heading: %{heading_link}	human editorial revision
budgets.yml	budgets.investments.index.sidebar.change_ballot	Ha meggondolja magát, eltávolíthatja szavazatait az %{check_ballot}-ban, és újrakezdheti.	Ha meggondolja magát, a %{check_ballot} oldalon eltávolíthatja szavazatait, majd újrakezdheti.	If you change your mind you can remove your votes in %{check_ballot} and start again.	human editorial revision
budgets.yml	budgets.investments.index.sidebar.check_ballot_link	ellenőrizze a szavazataimat	ellenőrizze szavazatait	check my votes	human editorial revision
budgets.yml	budgets.investments.index.sidebar.zero	Nem szavazott egyetlen befektetési projektet sem ebben a csoportban.	Ebben a kategóriában még egyetlen beruházási projektre sem szavazott.	You have not voted any investment project in this group.	human editorial revision
budgets.yml	budgets.investments.index.sidebar.verified_only	Új költségvetési beruházás létrehozásához %{verify}.	Új beruházási projekt létrehozásához %{verify}.	To create a new budget investment %{verify}.	human editorial revision
budgets.yml	budgets.investments.index.sidebar.create	Hozzon létre egy költségvetési befektetést	Beruházási projekt létrehozása	Create a budget investment	human editorial revision
budgets.yml	budgets.investments.index.sidebar.not_logged_in	Új költségvetési befektetés létrehozásához %{sign_in} vagy %{sign_up} szükséges.	Új beruházási projekt létrehozásához %{sign_in} vagy %{sign_up} szükséges.	To create a new budget investment you must %{sign_in} or %{sign_up}.	human editorial revision
budgets.yml	budgets.investments.index.filter	Projektek szűrése a következő szerint	Projektek szűrése	Filtering projects by	human editorial revision
budgets.yml	budgets.investments.index.filters.unfeasible	Megvalósíthatatlan	Nem megvalósítható	Unfeasible	human editorial revision
budgets.yml	budgets.investments.index.filters.unselected	Nem választották ki a végső szavazásra	A végső szavazásra ki nem választott	Not selected for the final voting	human editorial revision
budgets.yml	budgets.investments.index.orders.confidence_score	legmagasabb minősítésű	Legmagasabb értékelés	highest rated	human editorial revision
budgets.yml	budgets.investments.share.message	Az %{title} beruházási projektet %{handle}-ben hoztam létre. Hozz létre befektetési projektet is!	A(z) %{title} beruházási projektet itt hoztam létre: %{handle}. Hozzon létre Ön is beruházási projektet!	I created the investment project %{title} in %{handle}. Create an investment project too!	human editorial revision
budgets.yml	budgets.investments.show.price_explanation	Ár magyarázat	Az ár magyarázata	Price explanation	human editorial revision
budgets.yml	budgets.investments.show.organization_name	Javasolt a következő nevében: <strong>%{name}</strong>	Javaslattevő szervezet: <strong>%{name}</strong>	Proposed on behalf of: <strong>%{name}</strong>	human editorial revision
budgets.yml	budgets.investments.show.share	Részesedés	Megosztás	Share	human editorial revision
budgets.yml	budgets.investments.show.supports	Támogatja	Támogatások	Supports	human editorial revision
budgets.yml	budgets.investments.show.project_unfeasible	Ezt a beruházási projektet <strong> nem megvalósíthatónak</strong> jelölték meg, és nem kerül szavazási szakaszba.	Ez a beruházási projekt <strong>nem megvalósítható</strong>, ezért nem kerül a szavazási szakaszba.	This investment project <strong>has been marked as not feasible</strong> and will not go to balloting phase.	human editorial revision
budgets.yml	budgets.investments.show.project_selected	Ezt a beruházási projektet <strong> kiválasztották</strong> a szavazási szakaszra.	Ezt a beruházási projektet <strong>kiválasztották</strong> a szavazási szakaszra.	This investment project <strong>has been selected</strong> for balloting phase.	human editorial revision
budgets.yml	budgets.investments.investment.already_added	Ön már hozzáadta ezt a beruházási projektet	Ön már hozzáadta ezt a beruházási projektet.	You have already added this investment project	human editorial revision
budgets.yml	budgets.investments.investment.support_title	Támogassa ezt a projektet	A projekt támogatása	Support this project	human editorial revision
budgets.yml	budgets.investments.investment.supports.other	%{count} támogatja	%{count} támogatás	%{count} supports	human editorial revision
budgets.yml	budgets.investments.header.check_ballot	Ellenőrizze a szavazataimat	Szavazataim ellenőrzése	Check my votes	human editorial revision
budgets.yml	budgets.investments.header.different_heading_assigned	Aktív szavazatai vannak egy másik rovatban: %{heading_link}	Másik kategóriában is vannak aktív szavazatai: %{heading_link}.	You have active votes in another heading: %{heading_link}	human editorial revision
budgets.yml	budgets.investments.header.change_ballot	Ha meggondolja magát, eltávolíthatja szavazatait az %{check_ballot}-ban, és újrakezdheti.	Ha meggondolja magát, a %{check_ballot} oldalon eltávolíthatja szavazatait, majd újrakezdheti.	If you change your mind you can remove your votes in %{check_ballot} and start again.	human editorial revision
budgets.yml	budgets.investments.header.check_ballot_link	ellenőrizze a szavazataimat	ellenőrizze szavazatait	check my votes	human editorial revision
budgets.yml	budgets.investments.header.price	Teljes költségvetés	Teljes költségkeret	Total budget	human editorial revision
budgets.yml	budgets.investments.votes.confirm_group.one	Csak az %{count} kerületben lehet beruházásokat támogatni. Ha folytatja, nem módosíthatja a körzetének választását. Biztos vagy benne?	Beruházási projekteket csak a(z) %{count}. kerületben támogathat. Ha folytatja, később nem módosíthatja ezt a választást. Biztos benne?	You can only support investments in %{count} district. If you continue you cannot change the election of your district. Are you sure?	human editorial revision
budgets.yml	budgets.investments.votes.confirm_group.other	Csak az %{count} körzetekben lehet beruházásokat támogatni. Ha folytatja, nem módosíthatja a körzetének választását. Biztos vagy benne?	Beruházási projekteket csak a következő kerületekben támogathatja: %{count}. Ha folytatja, később nem módosíthatja ezt a választást. Biztos benne?	You can only support investments in %{count} districts. If you continue you cannot change the election of your district. Are you sure?	human editorial revision
budgets.yml	budgets.investments.votes.remove_support_label	Távolítsa el az %{investment} támogatását	%{investment} támogatásának eltávolítása	Remove your support to %{investment}	human editorial revision
budgets.yml	budgets.investments_list.investment.read_more	Olvass tovább	További részletek	Read more	human editorial revision
budgets.yml	budgets.investments_list.investment.supports	Támogatja	Támogatások	Supports	human editorial revision
budgets.yml	budgets.investments_list.see_all	Tekintse meg az összes befektetést	Az összes beruházási projekt megtekintése	See all investments	human editorial revision
budgets.yml	budgets.investments_list.title	A befektetések listája	Beruházási projektek listája	List of investments	human editorial revision
budgets.yml	budgets.supports_info.next	Támogassa azokat a projekteket, amelyekkel a következő fázisba szeretne lépni.	Támogassa azokat a projekteket, amelyeket szeretne a következő szakaszba juttatni.	Support the projects you would like to see move on to the next phase.	human editorial revision
budgets.yml	budgets.supports_info.scrolling	Az összes ötlet megtekintéséhez görgessen tovább	Görgessen tovább az összes ötlet megtekintéséhez.	Keep scrolling to see all ideas	human editorial revision
budgets.yml	budgets.supports_info.share	Megoszthatja a támogatott projektjeit a közösségi médián keresztül, és több figyelmet és támogatást vonhat magára!	Ossza meg a támogatott projekteket a közösségi médiában, hogy több figyelmet és támogatást kapjanak!	You can share the projects you have supported on through social media and attract more attention and support to them!	human editorial revision
budgets.yml	budgets.supports_info.supported.other	Eddig az <strong>%{count} projekteket</strong> támogatta.	Eddig <strong>%{count} projektet</strong> támogatott.	So far you've supported <strong>%{count} projects</strong>.	human editorial revision
budgets.yml	budgets.supports_info.supported_not_logged_in	Jelentkezzen be az <strong>támogató projektek</strong> elindításához.	Jelentkezzen be, hogy <strong>támogathassa a projekteket</strong>.	Log in to start <strong>supporting projects</strong>.	human editorial revision
budgets.yml	budgets.supports_info.time	Még van idő a projektek támogatására %{phase_end_date}-ig.	%{phase_end_date}-ig még támogathat projekteket.	There's still time until %{phase_end_date} to support projects.	human editorial revision
budgets.yml	budgets.supports_info.title	Ideje <strong>támogatni</strong> projekteket!	Itt az idő, hogy <strong>támogassa</strong> a projekteket!	It's time to <strong>support</strong> projects!	human editorial revision
budgets.yml	budgets.results.heading	közösségi költségvetés eredményei	A közösségi költségvetés eredményei	Participatory budget results	human editorial revision
budgets.yml	budgets.results.heading_selection_title	kerület szerint	Kerület szerint	By district	human editorial revision
budgets.yml	budgets.results.hide_discarded_link	Elvetett elrejtés	Elvetettek elrejtése	Hide discarded	human editorial revision
budgets.yml	budgets.results.accepted	Elfogadott befektetés:	Elfogadott beruházási projekt:	Accepted investment: 	human editorial revision
budgets.yml	budgets.results.discarded	Eldobott befektetés:	Elvetett beruházási projekt:	Discarded investment: 	human editorial revision
budgets.yml	budgets.results.unfeasible_investment_proyects	Az összes megvalósíthatatlan beruházási projekt listája	Nem megvalósítható beruházási projektek listája	List of all unfeasible investment projects	human editorial revision
budgets.yml	budgets.results.not_selected_investment_proyects	A szavazásra nem kiválasztott beruházási projektek listája	A szavazásra ki nem választott beruházási projektek listája	List of all investment projects not selected for balloting	human editorial revision
budgets.yml	budgets.executions.page_title	%{budget} - Mérföldkövek	%{budget} – mérföldkövek	%{budget} - Milestones	human editorial revision
budgets.yml	budgets.executions.heading	közösségi költségvetés Mérföldkövek	A közösségi költségvetés mérföldkövei	Participatory budget Milestones	human editorial revision
budgets.yml	budgets.executions.heading_selection_title	kerület szerint	Kerület szerint	By district	human editorial revision
budgets.yml	budgets.executions.no_winner_investments	Ebben az állapotban nincs nyertes befektetés	Ebben az állapotban nincs nyertes beruházási projekt.	No winner investments in this state	human editorial revision
budgets.yml	budgets.executions.filters.milestone_tag.label	Mérföldkő címke	Mérföldkőcímke	Milestone tag	human editorial revision
budgets.yml	budgets.phases.errors.dates_range_invalid	A kezdő dátum nem lehet egyenlő vagy későbbi, mint a Befejezés dátuma	A kezdő dátum nem lehet azonos a záró dátummal, és nem lehet annál későbbi sem.	Start date can't be equal or later than End date	human editorial revision
budgets.yml	budgets.phases.errors.prev_phase_dates_invalid	A kezdő dátumnak későbbinek kell lennie, mint az előző engedélyezett fázis kezdő dátuma (%{phase_name})	A kezdő dátumnak későbbinek kell lennie, mint az előző engedélyezett szakasz kezdő dátuma (%{phase_name}).	Start date must be later than the start date of the previous enabled phase (%{phase_name})	human editorial revision
budgets.yml	budgets.phases.errors.next_phase_dates_invalid	A befejezés dátumának korábbinak kell lennie, mint a következő engedélyezett fázis (%{phase_name}) befejezési dátuma.	A záró dátumnak korábbinak kell lennie, mint a következő engedélyezett szakasz záró dátuma (%{phase_name}).	End date must be earlier than the end date of the next enabled phase (%{phase_name})	human editorial revision
devise_views.yml	devise_views.confirmations.new.submit	Küldje el újra az utasításokat	Megerősítési utasítások újbóli elküldése	Re-send instructions	human editorial revision
devise_views.yml	devise_views.confirmations.new.title	Küldje el újra a megerősítő utasításokat	Megerősítési utasítások újbóli elküldése	Re-send confirmation instructions	human editorial revision
devise_views.yml	devise_views.confirmations.show.instructions	A fiók megerősítése e-mailben %{email}	Erősítse meg fiókját a(z) %{email} e-mail-címen keresztül.	Confirming the account with email %{email}	human editorial revision
devise_views.yml	devise_views.confirmations.show.new_password_confirmation_label	Ismételje meg a hozzáférési jelszót	Új jelszó megerősítése	Repeat access password	human editorial revision
devise_views.yml	devise_views.confirmations.show.new_password_label	Új hozzáférési jelszó	Új jelszó	New access password	human editorial revision
devise_views.yml	devise_views.confirmations.show.please_set_password	Kérjük, válassza ki az új jelszavát (ez lehetővé teszi a bejelentkezéshez a fenti e-mail címmel)	Kérjük, adja meg új jelszavát. Ezzel a fenti e-mail-címmel is bejelentkezhet majd.	Please choose your new pasword (it will allow you to login with the email above)	human editorial revision
devise_views.yml	devise_views.confirmations.show.submit	Erősítse meg	Fiók megerősítése	Confirm	human editorial revision
devise_views.yml	devise_views.confirmations.show.title	Erősítse meg fiókomat	Fiók megerősítése	Confirm my account	human editorial revision
devise_views.yml	devise_views.mailer.confirmation_instructions.confirm_link	Erősítse meg fiókomat	Fiókom megerősítése	Confirm my account	human editorial revision
devise_views.yml	devise_views.mailer.confirmation_instructions.text	Az alábbi linken erősítheti meg e-mail fiókját:	Az alábbi hivatkozásra kattintva erősítheti meg e-mail-címét:	You can confirm your email account at the following link:	human editorial revision
devise_views.yml	devise_views.mailer.reset_password_instructions.change_link	Változtasd meg a jelszavamat	Jelszavam módosítása	Change my password	human editorial revision
devise_views.yml	devise_views.mailer.reset_password_instructions.hello	Helló	Üdvözöljük	Hello	human editorial revision
devise_views.yml	devise_views.mailer.reset_password_instructions.ignore_text	Ha nem kérte a jelszó megváltoztatását, figyelmen kívül hagyhatja ezt az e-mailt.	Ha nem Ön kezdeményezte a jelszó módosítását, hagyja figyelmen kívül ezt az e-mailt.	If you did not request a password change, you can ignore this email.	human editorial revision
devise_views.yml	devise_views.mailer.reset_password_instructions.info_text	Jelszava csak akkor módosul, ha hozzáfér a linkhez és nem módosítja azt.	Jelszava csak akkor változik meg, ha megnyitja a hivatkozást és új jelszót ad meg.	Your password will not be changed unless you access the link and edit it.	human editorial revision
devise_views.yml	devise_views.mailer.reset_password_instructions.text	Jelszava megváltoztatására vonatkozó kérést kaptunk. Ezt az alábbi linken teheti meg:	Jelszó-visszaállítási kérelmet kaptunk. Az alábbi hivatkozásra kattintva adhat meg új jelszót:	We have received a request to change your password. You can do this at the following link:	human editorial revision
devise_views.yml	devise_views.mailer.reset_password_instructions.title	Változtassa meg jelszavát	Jelszó módosítása	Change your password	human editorial revision
devise_views.yml	devise_views.mailer.unlock_instructions.hello	Helló	Üdvözöljük	Hello	human editorial revision
devise_views.yml	devise_views.mailer.unlock_instructions.info_text	Fiókját a túl sok sikertelen bejelentkezési kísérlet miatt blokkoltuk.	Fiókját túl sok sikertelen bejelentkezési kísérlet miatt zároltuk.	Your account has been blocked due to an excessive number of failed sign-in attempts.	human editorial revision
devise_views.yml	devise_views.mailer.unlock_instructions.instructions_text	Kérjük, kattintson erre a linkre a fiók feloldásához:	Fiókja feloldásához kattintson az alábbi hivatkozásra:	Please click on this link to unlock your account:	human editorial revision
devise_views.yml	devise_views.mailer.unlock_instructions.title	Fiókját zároltuk	Fiókja zárolva van	Your account has been locked	human editorial revision
devise_views.yml	devise_views.mailer.unlock_instructions.unlock_link	Oldja fel a fiókom zárolását	Fiókom feloldása	Unlock my account	human editorial revision
devise_views.yml	devise_views.menu.login_items.login	Jelentkezzen be	Bejelentkezés	Sign in	human editorial revision
devise_views.yml	devise_views.menu.login_items.logout	Jelentkezzen ki	Kijelentkezés	Sign out	human editorial revision
devise_views.yml	devise_views.menu.login_items.signup	Nyilvántartás	Regisztráció	Register	human editorial revision
devise_views.yml	devise_views.organizations.registrations.new.password_confirmation_label	Erősítse meg a jelszót	Jelszó megerősítése	Confirm password	human editorial revision
devise_views.yml	devise_views.organizations.registrations.new.responsible_name_note	Ez az a személy lenne, aki azt az egyesületet/kollektívát képviseli, akinek a nevében a javaslatokat előterjesztik	Adja meg annak a személynek a nevét, aki a szervezetet vagy közösséget képviseli, és a nevében javaslatokat nyújt be.	This would be the person representing the association/collective in whose name the proposals are presented	human editorial revision
devise_views.yml	devise_views.organizations.registrations.new.submit	Nyilvántartás	Regisztráció	Register	human editorial revision
devise_views.yml	devise_views.organizations.registrations.new.title	Regisztráljon szervezetként vagy kollektívaként	Regisztráció szervezetként vagy közösségként	Register as an organisation or collective	human editorial revision
devise_views.yml	devise_views.organizations.registrations.success.back_to_index	értem; vissza a főoldalra	Értem, vissza a főoldalra	I understand; go back to main page	human editorial revision
devise_views.yml	devise_views.organizations.registrations.success.instructions_1	<strong>Hamarosan felvesszük Önnel a kapcsolatot</strong>, hogy ellenőrizzük, valóban képviseli-e ezt a kollektívát.	<strong>Hamarosan felvesszük Önnel a kapcsolatot</strong>, hogy ellenőrizzük képviseleti jogosultságát.	<strong>We will contact you soon</strong> to verify that you do in fact represent this collective.	human editorial revision
devise_views.yml	devise_views.organizations.registrations.success.instructions_2	Amíg <strong>e-mailje ellenőrzés alatt áll</strong>, küldtünk egy <strong>linket, amellyel megerősítheti fiókját</strong>.	Amíg <strong>a szervezet ellenőrzése folyamatban van</strong>, küldtünk egy <strong>fiókmegerősítő hivatkozást</strong>.	While your <strong>email is reviewed</strong>, we have sent you a <strong>link to confirm your account</strong>.	human editorial revision
devise_views.yml	devise_views.organizations.registrations.success.instructions_3	A megerősítést követően megkezdheti a részvételt nem ellenőrzött kollektívaként.	A megerősítés után nem ellenőrzött szervezetként is részt vehet a folyamatokban.	Once confirmed, you may begin to participate as an unverified collective.	human editorial revision
devise_views.yml	devise_views.organizations.registrations.success.thank_you	Köszönjük, hogy regisztrálta kollektíváját a weboldalon. Jelenleg <strong>ellenőrzésre vár</strong>.	Köszönjük, hogy regisztrálta szervezetét vagy közösségét. A regisztráció jelenleg <strong>ellenőrzés alatt áll</strong>.	Thank you for registering your collective on the website. It is now <strong>pending verification</strong>.	human editorial revision
devise_views.yml	devise_views.organizations.registrations.success.title	Szervezet / kollektív regisztráció	Szervezet vagy közösség regisztrációja	Registration of organisation / collective	human editorial revision
devise_views.yml	devise_views.passwords.edit.change_submit	Változtasd meg a jelszavamat	Jelszó módosítása	Change my password	human editorial revision
devise_views.yml	devise_views.passwords.edit.password_confirmation_label	Erősítse meg az új jelszót	Új jelszó megerősítése	Confirm new password	human editorial revision
devise_views.yml	devise_views.passwords.edit.title	Változtassa meg jelszavát	Jelszó módosítása	Change your password	human editorial revision
devise_views.yml	devise_views.passwords.new.send_submit	Küldje el az utasításokat	Utasítások elküldése	Send instructions	human editorial revision
devise_views.yml	devise_views.passwords.new.title	Elfelejtett jelszó?	Elfelejtette a jelszavát?	Forgotten password?	human editorial revision
devise_views.yml	devise_views.sessions.new.remember_me	Emlékezz rám	Emlékezzen rám	Remember me	human editorial revision
devise_views.yml	devise_views.sessions.new.submit	Enter	Bejelentkezés	Enter	human editorial revision
devise_views.yml	devise_views.sessions.new.title	Jelentkezzen be	Bejelentkezés	Sign in	human editorial revision
devise_views.yml	devise_views.shared.links.login	Enter	Bejelentkezés	Enter	human editorial revision
